	aneu	text	label	insulte	grau	rol	tipus	insults
0	tweet85_1234943272562446336	@laSextaTV @cayetanaAT @cayetanaAT Gran Cayetana, som molts els que pensem igual que vostè sobre la SECTA, amb independència de l'ideari poltico. Té vostè ms coj...s que tots els barons del PP junts.	VIOLENT	SI	MODERAT	EXECUTOR	ALTRE	['la SECTA', 'Té vostè ms coj...s que tots els barons del PP junts']
1	tweet76_1235118763579604993	@laSextaTV La Sextapo.	VIOLENT	SI	MODERAT	EXECUTOR	ALTRE	['La Sextapo']
2	tweet69_1235152882988650496	@laSextaTV Retractar-se de la veritat? Vinga ja	NOVIOLENTO	NO				[]
3	tweet8_991352279679819776	La #Poltica No és de #Persones és de #Models Duc i Vargas són d un Model q Encara que Imperfecte Funciona per a la #GranMayora Petro i Del Carrer són d'un Model #Obsolet #Fracassat i Funciona Malament per a la #InmensaMayora Vase la Història i el Present de #Vzla i #Nicaragua.	NOVIOLENTO	NO				[]
4	tweet10_1235123983743361024	@laSextaTV @cayetanaAT I adems viuen de fer-ho. Han trobat en el PP una mina.	NOVIOLENTO	NO				[]
5	tweet90_990993212687994881	@Taliban910 vergenza dónes vós. que te la dónes de periodista i no arribes ni als talons .. #DasAsco	VIOLENT	SI	MODERAT	EXECUTOR	ALTRE	['vergenza dónes', 'DasAsco']
6	tweet76_1591842372161310722	@sanmgATM TOTS, sense excepcin, els que han anat a la Manifestacin contra Ayuso amb l'excusa de la Sanitat Pblica, (és as, no al revs) són uns FILLS DE PUTA. Com est el Pas i han estat amagats perquè governa el Psoe i avui ixen com alimaas. MISERABLES. FILLS DE PUTA.	VIOLENT	SI	MODERAT	EXECUTOR	ALTRE	['són uns FILLS DE PUTA', 'alimaas', 'MISERABLES', 'FILLS DE PUTA']
7	tweet12_1234935292186021889	@laSextaTV S, l'ABC.	NOVIOLENTO	NO				[]
8	tweet19_1235081041615998976	@laSextaTV Aquesta dona tan criticada dica la veritat.	NOVIOLENTO	NO				[]
9	tweet18_1235213440953856002	@laSextaTV Sou el canal de TV mes manipulador, partidista i poc objectiu que hi ha despues de TV3  No he vist mai, un canal que calla els draps bruts del govern per a fer OPOSICION DE L'OPOSICION, vergonyós. Ademas sou responsables de difondre l'odi cap a VOX llamandolo extrema https://t.co/ig5xcgdigb	VIOLENT	SI	MODERAT	EXECUTOR	ALTRE	['manipulador', 'vergonyós', 'sou responsables de difondre l'odi']
