	aneu	text	label	insulte	grau	rol	tipus	insults
2639	tweet85_1234943272562446336	@laSextaTV @cayetanaAT @cayetanaAT Gran Cayetana, som molts els que pensem igual que vostè sobre la SECTA, amb independència de l'ideari poltico. Té vostè ms coj...s que tots els barons del PP junts.	VIOLENT	SI	MODERAT	EXECUTOR	ALTRE	['la SECTA', 'Té vostè ms coj...s que tots els barons del PP junts']
159	tweet76_1235118763579604993	@laSextaTV La Sextapo.	VIOLENT	SI	MODERAT	EXECUTOR	ALTRE	['La Sextapo']
154	tweet69_1235152882988650496	@laSextaTV Retractar-se de la veritat? Vinga ja	NOVIOLENTO	NO				[]
1511	tweet8_991352279679819776	La #Poltica No és de #Persones és de #Models Duc i Vargas són d un Model q Encara que Imperfecte Funciona per a la #GranMayora Petro i Del Carrer són d'un Model #Obsolet #Fracassat i Funciona Malament per a la #InmensaMayora Vase la Història i el Present de #Vzla i #Nicaragua.	NOVIOLENTO	NO				[]
2717	tweet10_1235123983743361024	@laSextaTV @cayetanaAT I adems viuen de fer-ho. Han trobat en el PP una mina.	NOVIOLENTO	NO				[]
104	tweet90_990993212687994881	@Taliban910 vergenza dónes vós. que te la dónes de periodista i no arribes ni als talons .. #DasAsco	VIOLENT	SI	MODERAT	EXECUTOR	ALTRE	['vergenza dónes', 'DasAsco']
1984	tweet76_1591842372161310722	@sanmgATM TOTS, sense excepcin, els que han anat a la Manifestacin contra Ayuso amb l'excusa de la Sanitat Pblica, (és as, no al revs) són uns FILLS DE PUTA. Com est el Pas i han estat amagats perquè governa el Psoe i avui ixen com alimaas. MISERABLES. FILLS DE PUTA.	VIOLENT	SI	MODERAT	EXECUTOR	ALTRE	['són uns FILLS DE PUTA', 'alimaas', 'MISERABLES', 'FILLS DE PUTA']
120	tweet12_1234935292186021889	@laSextaTV S, l'ABC.	NOVIOLENTO	NO				[]
1867	tweet19_1235081041615998976	@laSextaTV Aquesta dona tan criticada dica la veritat.	NOVIOLENTO	NO				[]
125	tweet18_1235213440953856002	@laSextaTV Sou el canal de TV mes manipulador, partidista i poc objectiu que hi ha despues de TV3  No he vist mai, un canal que calla els draps bruts del govern per a fer OPOSICION DE L'OPOSICION, vergonyós. Ademas sou responsables de difondre l'odi cap a VOX llamandolo extrema https://t.co/ig5xcgdigb	VIOLENT	SI	MODERAT	EXECUTOR	ALTRE	['manipulador', 'vergonyós', 'sou responsables de difondre l'odi']
1796	tweet14_1235244554095296514	@IreneMontero Das molta vergenza aliena. T incapacitat espanta.	VIOLENT	SI	MODERAT	EXECUTOR	POLITICA	['Das molta vergenza aliena', 'T incapacitat']
2067	tweet95_1235169765603323906	@laSextaTV Potser esmente? Només criticais als quals no són afins a les vostres idees.	NOVIOLENTO	NO				[]
643	tweet51_1235459409431670784	@laSextaTV La pell mes fina de l'univers és de la premsa. Vosaltres podis insultar i manipular, ara a vosaltres que ni us nomenen	NOVIOLENTO	SI				['insultar', 'manipular']
2628	tweet64_1235108401140527105	@laSextaTV Cayetana, el millor del PP. Anime i no t'achantes, per favor	NOVIOLENTO	NO				[]
2395	tweet12_1235323456427786240	@IreneMontero I el voler  assotar a Maril Montero fins a fer-la sagnar no és masclisme?	VIOLENT	SI	GREU	INFORMATIU	ALTRE	['assotar', 'fins a fer-la sagnar']
1666	tweet35_1235336134345003008	@laSextaTV I es queda curta	NOVIOLENTO	NO				[]
439	tweet88_1234888666838945793	@laSextaTV Totalment d'acord amb @cayetanaAT	NOVIOLENTO	NO				[]
684	tweet13_1234968203379593217	@laSextaTV Un no ha de retractar-se quan diu la veritat. Us ha definit perfectament, de fet ha sigut bastant benvola.	NOVIOLENTO	NO				[]
1194	tweet7_1592824664572977152	La puta moguda madrilea plena de fachasy de dolents artista i personasun ascoy ara el do Almeida/Ayuso per a enterrar a aqueix puto forat negre  https://t.co/irqkb5vsjr	VIOLENT	SI	MODERAT	EXECUTOR	POLITICA	['puta', 'fachasy', 'un fàstic', 'puta']
2520	tweet96_1235237273651814400	@IreneMontero No donem municin al  Trifachito  Aqueix Eslògan no representa a l@s  Feministes Retirar-lo sàrria l'encertat Una Salutació...	NOVIOLENTO	NO				[]
2238	tweet92_1235342855184486400	@IreneMontero Vinga va, soles i borratxes per a reivindicar... Q soles i sòbries no serveix. Acompaadas i amb un pet dels guays tb és bé??? És per a una amiga	NOVIOLENTO	NO				[]
2627	tweet63_1235345065234624514	@IreneMontero Dnde estaves tota la nostra vida!!? https://t.co/nnscswzgud	NOVIOLENTO	NO				[]
